date,country_code,root_letter,nsid
05-2025,ye,L,ye-sah-aa
04-2025,et,D,aaet1.droot.maxgigapop.net
04-2025,et,D,aaet2.droot.maxgigapop.net
04-2025,la,D,vila1.droot.maxgigapop.net
04-2025,la,D,vila2.droot.maxgigapop.net
02-2025,km,L,km-yva-aa
07-2024,dm,D,rodm1.droot.maxgigapop.net
07-2024,dm,D,rodm2.droot.maxgigapop.net
07-2024,kn,D,btkn1.droot.maxgigapop.net
07-2024,kn,D,btkn2.droot.maxgigapop.net
07-2024,zm,D,luzm1.droot.maxgigapop.net
07-2024,zm,D,luzm2.droot.maxgigapop.net
07-2024,vg,D,rtvg1.droot.maxgigapop.net
07-2024,vg,D,rtvg2.droot.maxgigapop.net
07-2024,cg,D,bvcg1.droot.maxgigapop.net
07-2024,cg,D,bvcg2.droot.maxgigapop.net
03-2024,cl,L,cl-scl-aa
03-2024,cl,L,cl-scl-ab
03-2024,cl,L,cl-scl-ac
03-2024,sb,L,sb-hir-aa
03-2024,pw,L,pw-ror-aa
03-2024,fm,L,fm-ksa-aa
03-2024,mh,L,mh-maj-aa
03-2024,mh,L,mh-maj-ab
03-2024,ck,L,ck-rar-aa
03-2024,ck,L,ck-rar-ab
02-2024,bw,F,GBE.cf.f.root-servers.org
02-2024,bn,F,BWN.cf.f.root-servers.org
02-2024,me,F,tgd1f.f.root-servers.org
02-2024,gy,F,GEO.cf.f.root-servers.org
02-2024,fj,F,suv1f.f.root-servers.org
02-2024,sx,F,sxm1f.f.root-servers.org
02-2024,mv,F,MLE.cf.f.root-servers.org
02-2024,do,F,STI.cf.f.root-servers.org
02-2024,dz,F,ALG.cf.f.root-servers.org
02-2024,dz,F,FORN.cf.f.root-servers.org
02-2024,md,F,KIV.cf.f.root-servers.org
02-2024,cy,F,LCA.cf.f.root-servers.org
02-2024,by,F,MSQ.cf.f.root-servers.org
02-2024,bb,F,BGI.cf.f.root-servers.org
02-2024,pf,F,PPT.cf.f.root-servers.org
02-2024,pg,F,pom1f.f.root-servers.org
02-2024,az,F,GYD.cf.f.root-servers.org
02-2024,pk,F,KHI.cf.f.root-servers.org
02-2024,jo,F,AMM.cf.f.root-servers.org
02-2024,eg,F,CAI.cf.f.root-servers.org
01-2024,ve,K,ns1.ve-mar.k.ripe.net
12-2023,gu,M,M-GUM-1
07-2023,kg,K,ns2.kg-fru.k.ripe.net
